method,dataset,n_train,n_attack,n_epochs,batch_size,lr,base_dim,repr_dim,proj_dim,k_steps,num_t_samples,classifier,target_byte,device,train_start_time,train_end_time,train_time_sec,train_time_ms,final_rank,min_rank,rank0_trace,figure_path,checkpoint_path
SimCLR-shared-backbone,ASCAD.h5,50000,10000,100,64,0.001,,,128,,,LogisticRegression,2,cuda,1786309470.9042304,1786309935.5152457,464.61,464611.02,0,0,1295,outputs/figures/simclr_shared_cnn_v1_window0-700_mean_max_proj128_ep100_seed42/simclr_shared_cnn_v1_window0-700_mean_max_proj128_ep100_seed42_linear_probe_rank.png,outputs/checkpoints/simclr_shared_cnn_v1_window0-700_mean_max_proj128_ep100_seed42/simclr_shared_cnn_v1_window0-700_mean_max_proj128_ep100_seed42_encoder.pt
BYOL-restored-shared-backbone,ASCAD.h5,50000,10000,100,128,0.0003,,,128,,,LogisticRegression,2,cuda,1786310350.8877928,1786310842.1186655,491.23,491230.87,0,0,712,outputs/figures/byol_shared_cnn_v1_window0-700_mean_max_weakaug_shift3_noise0p01_ema0p996_proj128_ep100_seed42/byol_shared_cnn_v1_window0-700_mean_max_weakaug_shift3_noise0p01_ema0p996_proj128_ep100_seed42_linear_probe_rank.png,outputs/checkpoints/byol_shared_cnn_v1_window0-700_mean_max_weakaug_shift3_noise0p01_ema0p996_proj128_ep100_seed42/byol_shared_cnn_v1_window0-700_mean_max_weakaug_shift3_noise0p01_ema0p996_proj128_ep100_seed42_encoder.pt
CPC-restored-shared-backbone,ASCAD.h5,50000,10000,100,64,0.0002,,,,,,LogisticRegression,2,cuda,1786311899.1083474,1786312431.5054686,532.4,532397.12,0,0,401,outputs/figures/cpc_shared_cnn_v1_window0-700_mean_max_context320_pred6_neg10_ep100_seed42/cpc_shared_cnn_v1_window0-700_mean_max_context320_pred6_neg10_ep100_seed42_linear_probe_rank.png,outputs/checkpoints/cpc_shared_cnn_v1_window0-700_mean_max_context320_pred6_neg10_ep100_seed42/cpc_shared_cnn_v1_window0-700_mean_max_context320_pred6_neg10_ep100_seed42_encoder.pt
MAE-restored-shared-backbone,ASCAD.h5,50000,10000,100,128,0.0001,,,,,,LogisticRegression,2,cuda,1786313609.6387167,1786313858.5193653,248.88,248880.65,0,0,3810,outputs/figures/mae_shared_cnn_v1_window0-700_mean_max_patch5_mask30_ep100_seed42/mae_shared_cnn_v1_window0-700_mean_max_patch5_mask30_ep100_seed42_linear_probe_rank.png,outputs/checkpoints/mae_shared_cnn_v1_window0-700_mean_max_patch5_mask30_ep100_seed42/mae_shared_cnn_v1_window0-700_mean_max_patch5_mask30_ep100_seed42_encoder.pt
TS2Vec-restored-shared-backbone,ASCAD.h5,50000,10000,100,64,0.001,,,,,,LogisticRegression,2,cuda,1786314513.4157586,1786315124.4283586,611.01,611012.6,0,0,481,outputs/figures/ts2vec_shared_cnn_v1_window0-700_mean_max_crop50_keep50_ep100_seed42/ts2vec_shared_cnn_v1_window0-700_mean_max_crop50_keep50_ep100_seed42_linear_probe_rank.png,outputs/checkpoints/ts2vec_shared_cnn_v1_window0-700_mean_max_crop50_keep50_ep100_seed42/ts2vec_shared_cnn_v1_window0-700_mean_max_crop50_keep50_ep100_seed42_encoder.pt
